stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
13033,,Toporaş h.,,44.33663559,23.967096329,,,0,,,0
13045,,Pieleşti Hm.,,44.319286346,23.955884933,,,0,,,0
13069,,Cârcea h.,,44.284381866,23.893442154,,,0,,,0
13071,,Plaiu Vulcăneşti Hm.,,44.310813904,23.854646683,,,0,,,0
13112,,Podu Rizii h.,,44.713039398,25.55748558,,,0,,,0
13124,,Băneşti h.,,44.742465973,25.568998337,,,0,,,0
13136,,Movila Dâmboviţa h.,,44.76852417,25.561159134,,,0,,,0
13148,,Nucet,,44.788074493,25.55357933,,,0,,,0
13150,,Cazaci h.,,44.818126678,25.531019211,,,0,,,0
13162,,Săteni h.,,44.971549988,25.428266525,,,0,,,0
13174,,Văcăreşti h.,,44.856067657,25.500080109,,,0,,,0
13186,,Valea Voievozilor hc.,,44.938102722,25.492986679,,,0,,,0
13198,,Târgovişte,,44.916122437,25.455450058,,,0,,,0
13203,,Romlux h.,,44.928806305,25.436307907,,,0,,,0
13215,,TEIŞ Hm.,,44.940666199,25.443748474,,,0,,,0
13227,,Aninoasa Hm.,,44.95891571,25.44219017,,,0,,,0
13239,,Doiceşti,,44.987266541,25.411314011,,,0,,,0
13241,,Doiceşti h.,,44.998214722,25.401563644,,,0,,,0
13253,,Vulcana Pandele P.M.Aj.,,45.01638031,25.408960342,,,0,,,0
13265,,Scârlenţa h.,,45.034393311,25.426530838,,,0,,,0
13277,,Trainica h.,,45.047889709,25.437257767,,,0,,,0
13289,,Pucioasa Hm.,,45.075630188,25.431272507,,,0,,,0
13291,,Moţăieni h.,,45.092205048,25.423456192,,,0,,,0
13306,,Fieni,,45.125602722,25.420654297,,,0,,,0
13320,,Ţepeş Vodă h.,,45.149242401,25.447856903,,,0,,,0
13332,,Pietroşiţa Hm.,,45.183540344,25.440288544,,,0,,,0
13368,,Ştefăneşti Argeş Hm.,,44.863677979,24.920129776,,,0,,,0
13370,,Gropeni h.,,44.882358551,24.883937836,,,0,,,0
13382,,Ciumeşti,,44.926338196,24.884988785,,,0,,,0
13409,,Clucereasa h.,,44.98033905,24.944541931,,,0,,,0
13423,,Stâlpeni Hm.,,45.030937195,24.968301773,,,0,,,0
13447,,Drăghici h.,,45.103569031,25.013845444,,,0,,,0
13461,,Lăzăreşti Hm.,,45.148162842,24.991256714,,,0,,,0
13485,,Schitu Goleşti,,45.204494476,25.002922058,,,0,,,0
13502,,Parcul Kreţulescu h.,,45.273960114,25.050191879,,,0,,,0
13514,,Câmpulung,,45.259292603,25.037397385,,,0,,,0
13576,,Piteşti Nord,,44.870368958,24.861003876,,,0,,,0
13588,,C.I.L. h.,,44.88236618,24.840265274,,,0,,,0
13590,,Bascov Hm.,,44.895702362,24.821146011,,,0,,,0
13617,,Merişani h.,,44.965488434,24.750364304,,,0,,,0
13643,,Băiculeşti h.,,45.055011749,24.695285797,,,0,,,0
13667,,Curtea de Argeş,,45.137935638,24.67298317,,,0,,,0
13710,,Papa h.,,44.18478775,24.973579407,,,0,,,0
13722,,Drăcşenei h.,,44.229335785,24.97118187,,,0,,,0
13734,,Beuca h.,,44.271633148,24.969205856,,,0,,,0
13746,,Zâmbreasca h.,,44.302528381,24.967260361,,,0,,,0
13758,,Beuca Sat h.,,44.254051208,24.969612122,,,0,,,0
13760,,Balaci Hm.,,44.356273651,24.962839127,,,0,,,0
13772,,Surduleşti h.,,44.393657684,24.96011734,,,0,,,0
13784,,Miroşi,,44.43396759,24.945331573,,,0,,,0
13801,,Colţ h.,,44.500789642,24.900978088,,,0,,,0
14037,,Giurgiu Nord,,43.922058105,25.964847565,,,0,,,0
14049,,Giurgiu,,43.895328522,25.960798264,,,0,,,0
14178,,Răduleşti Hm.,,44.22624588,25.541332245,,,0,,,0
14192,,Târnavele Hm.,,44.158565521,25.546966553,,,0,,,0
14219,,Vlaşca Hm.,,44.096168518,25.585243225,,,0,,,0
14221,,Răsuceni h.,,44.064510345,25.628147125,,,0,,,0
14233,,Toporu,,44.033508301,25.655994415,,,0,,,0
14257,,Cetatea h.,,43.939174652,25.954717636,,,0,,,0
14269,,Chiriacu Hm.,,43.981845856,25.762687683,,,0,,,0
14283,,Stăneşti Hm.,,43.949848175,25.841184616,,,0,,,0
14295,,Onceşti h.,,43.943569183,25.895175934,,,0,,,0
14300,,Bălănoaia Hm.,,43.947998047,25.930532455,,,0,,,0
14312,,Roşiori Hm.,,44.109580994,25.005813599,,,0,,,0
14348,,Troian h.,,44.009674072,24.947099686,,,0,,,0
14362,,Salcia Teleorman Hm.,,43.933433533,24.932249069,,,0,,,0
14398,,Km. 231+600 h.,,43.837909698,24.85291481,,,0,,,0
14427,,Turnu Măgurele,,43.753898621,24.877035141,,,0,,,0
14465,,Peret hc.,,44.047561646,25.094484329,,,0,,,0
14477,,Plosca Hm.,,44.030414581,25.142766953,,,0,,,0
14491,,Buzescu h.,,44.009643555,25.223978043,,,0,,,0
14506,,Alexandria Nord h.,,43.974777222,25.309057236,,,0,,,0
14518,,Alexandria,,43.963912964,25.325807571,,,0,,,0
14673,,Pârşcoveni hc.,,44.314285278,24.275590897,,,0,,,0
14685,,Şopârliţa hc.,,44.272102356,24.299890518,,,0,,,0
14697,,Vlăduleni,,44.254875183,24.324165344,,,0,,,0
14702,,Fălcoiu h.,,44.226634979,24.345821381,,,0,,,0
14726,,Romula Hm.,,44.177490234,24.401109695,,,0,,,0
14738,,Canton 239+700 h.,,44.107578278,24.371063232,,,0,,,0
14740,,Deveselu h.,,44.058082581,24.394609451,,,0,,,0
14752,,Grupa Tehnică Caracal Hm.,,44.086437225,24.380918503,,,0,,,0
14764,,Frăsinet hc.,,44.002456665,24.421728134,,,0,,,0
14776,,Studiniţa h.,,43.97543335,24.432552338,,,0,,,0
14788,,Studina hc.,,43.939357758,24.424121857,,,0,,,0
