service_id,date,exception_type
18,20160620,2
18,20160627,2
18,20160628,2
18,20160629,2
18,20160630,2
18,20160701,2
18,20160704,2
18,20160705,2
18,20160706,2
18,20160707,2
18,20160708,2
18,20160711,2
18,20160712,2
18,20160713,2
18,20160714,2
18,20160715,2
18,20160718,2
18,20160719,2
18,20160720,2
18,20160721,2
18,20160722,2
18,20160725,2
18,20160726,2
18,20160727,2
18,20160728,2
18,20160729,2
18,20160801,2
18,20160802,2
18,20160803,2
18,20160804,2
18,20160805,2
18,20160808,2
18,20160809,2
18,20160810,2
18,20160811,2
18,20160812,2
18,20160815,2
18,20160816,2
18,20160817,2
18,20160818,2
18,20160819,2
18,20160822,2
18,20160823,2
18,20160824,2
18,20160825,2
18,20160826,2
18,20160829,2
18,20160830,2
18,20160831,2
18,20160901,2
18,20160902,2
18,20160905,2
18,20160906,2
18,20160907,2
18,20160908,2
18,20160909,2
18,20161130,2
18,20161201,2
19,20151221,2
19,20151222,2
19,20151223,2
19,20151224,2
19,20151225,2
19,20151228,2
19,20151229,2
19,20151230,2
19,20151231,2
19,20160101,2
19,20160104,2
19,20160105,2
19,20160106,2
19,20160107,2
19,20160108,2
19,20160208,2
19,20160209,2
19,20160210,2
19,20160211,2
19,20160212,2
19,20160425,2
19,20160426,2
19,20160427,2
19,20160428,2
19,20160429,2
19,20160502,2
19,20160503,2
19,20160620,2
19,20160627,2
19,20160628,2
19,20160629,2
19,20160630,2
19,20160701,2
19,20160704,2
19,20160705,2
19,20160706,2
19,20160707,2
19,20160708,2
19,20160711,2
19,20160712,2
19,20160713,2
19,20160714,2
19,20160715,2
19,20160718,2
19,20160719,2
19,20160720,2
19,20160721,2
19,20160722,2
19,20160725,2
19,20160726,2
19,20160727,2
19,20160728,2
19,20160729,2
19,20160801,2
19,20160802,2
19,20160803,2
19,20160804,2
19,20160805,2
19,20160808,2
19,20160809,2
19,20160810,2
19,20160811,2
19,20160812,2
19,20160815,2
19,20160816,2
19,20160817,2
19,20160818,2
19,20160819,2
19,20160822,2
19,20160823,2
19,20160824,2
19,20160825,2
19,20160826,2
19,20160829,2
19,20160830,2
19,20160831,2
19,20160901,2
19,20160902,2
19,20160905,2
19,20160906,2
19,20160907,2
19,20160908,2
19,20160909,2
19,20161130,2
19,20161201,2
21,20151221,2
21,20151222,2
21,20151223,2
21,20151224,2
21,20151225,2
21,20151228,2
21,20151229,2
21,20151230,2
21,20151231,2
21,20160101,2
21,20160104,2
21,20160105,2
21,20160106,2
21,20160107,2
21,20160108,2
21,20160208,2
21,20160209,2
21,20160210,2
21,20160211,2
21,20160212,2
21,20160425,2
21,20160426,2
21,20160427,2
21,20160428,2
21,20160429,2
21,20160502,2
21,20160503,2
21,20160620,2
21,20160627,2
21,20160628,2
21,20160629,2
21,20160630,2
21,20160701,2
21,20160704,2
21,20160705,2
21,20160706,2
21,20160707,2
21,20160708,2
21,20160711,2
21,20160712,2
21,20160713,2
21,20160714,2
21,20160715,2
21,20160718,2
21,20160719,2
21,20160720,2
21,20160721,2
21,20160722,2
21,20160725,2
21,20160726,2
21,20160727,2
21,20160728,2
21,20160729,2
21,20160801,2
21,20160802,2
21,20160803,2
21,20160804,2
